IP_Address,Timestamp,HTTP_Method,Path,Status_Code,Response_Size
172.16.0.1,14/Aug/2024:19:11:48 +0000,PUT,/services.html,500,3058
172.16.0.1,14/Aug/2024:19:23:04 +0000,GET,/services.html,302,3856
172.16.0.2,14/Aug/2024:19:16:53 +0000,DELETE,/products.html,500,2671
192.168.1.2,14/Aug/2024:19:35:59 +0000,PUT,/contact.html,302,4207
192.168.1.1,14/Aug/2024:20:02:29 +0000,POST,/contact.html,302,937
192.168.1.2,14/Aug/2024:19:18:49 +0000,GET,/contact.html,302,4463
192.168.1.2,14/Aug/2024:19:08:31 +0000,PUT,/products.html,200,1035
10.0.0.1,14/Aug/2024:20:01:55 +0000,POST,/about.html,302,4793
172.16.0.2,14/Aug/2024:19:17:17 +0000,GET,/index.html,500,3279
172.16.0.1,14/Aug/2024:19:42:21 +0000,POST,/index.html,200,3410
192.168.1.1,14/Aug/2024:19:35:36 +0000,POST,/about.html,302,1048
192.168.1.2,14/Aug/2024:19:21:35 +0000,GET,/services.html,404,640
172.16.0.2,14/Aug/2024:20:00:40 +0000,GET,/index.html,302,1928
10.0.0.1,14/Aug/2024:19:24:19 +0000,POST,/about.html,200,1844
192.168.1.2,14/Aug/2024:19:22:16 +0000,GET,/about.html,404,1835
10.0.0.2,14/Aug/2024:19:22:19 +0000,PUT,/services.html,302,3416
10.0.0.2,14/Aug/2024:19:43:30 +0000,PUT,/about.html,302,3432
10.0.0.1,14/Aug/2024:19:16:15 +0000,PUT,/products.html,200,744
192.168.1.1,14/Aug/2024:19:58:10 +0000,POST,/contact.html,500,3490
10.0.0.2,14/Aug/2024:20:05:21 +0000,GET,/contact.html,302,2170
10.0.0.1,14/Aug/2024:19:46:49 +0000,DELETE,/index.html,302,2244
10.0.0.1,14/Aug/2024:19:18:14 +0000,PUT,/contact.html,500,2176
192.168.1.2,14/Aug/2024:19:37:05 +0000,GET,/products.html,500,4022
10.0.0.1,14/Aug/2024:20:00:23 +0000,POST,/index.html,404,3850
192.168.1.1,14/Aug/2024:19:42:22 +0000,POST,/services.html,200,4521
192.168.1.1,14/Aug/2024:19:21:06 +0000,POST,/services.html,500,3018
172.16.0.2,14/Aug/2024:20:03:10 +0000,GET,/index.html,500,4470
192.168.1.2,14/Aug/2024:19:08:57 +0000,DELETE,/index.html,404,4000
172.16.0.2,14/Aug/2024:19:19:34 +0000,GET,/index.html,302,4555
192.168.1.2,14/Aug/2024:19:48:18 +0000,PUT,/about.html,200,595
192.168.1.1,14/Aug/2024:19:12:48 +0000,POST,/about.html,200,1408
10.0.0.1,14/Aug/2024:19:24:29 +0000,POST,/services.html,302,883
10.0.0.1,14/Aug/2024:19:49:09 +0000,POST,/products.html,404,2994
10.0.0.2,14/Aug/2024:20:06:06 +0000,PUT,/contact.html,500,2644
192.168.1.1,14/Aug/2024:19:37:10 +0000,GET,/products.html,404,3617
192.168.1.2,14/Aug/2024:19:13:44 +0000,GET,/about.html,500,3015
192.168.1.1,14/Aug/2024:20:04:37 +0000,POST,/products.html,500,2999
10.0.0.1,14/Aug/2024:19:23:49 +0000,POST,/index.html,500,3464
172.16.0.1,14/Aug/2024:19:09:29 +0000,POST,/services.html,200,3226
172.16.0.1,14/Aug/2024:19:29:14 +0000,POST,/index.html,302,4960
172.16.0.1,14/Aug/2024:19:07:52 +0000,POST,/products.html,404,4094
172.16.0.2,14/Aug/2024:19:56:28 +0000,GET,/products.html,200,282
10.0.0.2,14/Aug/2024:19:45:07 +0000,DELETE,/index.html,302,4710
10.0.0.1,14/Aug/2024:20:05:07 +0000,PUT,/products.html,200,1213
10.0.0.2,14/Aug/2024:19:49:55 +0000,GET,/index.html,404,3149
172.16.0.1,14/Aug/2024:19:12:49 +0000,PUT,/about.html,404,4793
192.168.1.1,14/Aug/2024:19:50:47 +0000,POST,/products.html,500,962
10.0.0.1,14/Aug/2024:19:55:09 +0000,DELETE,/contact.html,302,525
192.168.1.1,14/Aug/2024:19:33:46 +0000,GET,/services.html,302,906
192.168.1.1,14/Aug/2024:19:10:06 +0000,PUT,/services.html,500,4621
172.16.0.2,14/Aug/2024:19:21:26 +0000,GET,/about.html,302,960
192.168.1.1,14/Aug/2024:19:58:48 +0000,PUT,/products.html,500,2100
192.168.1.2,14/Aug/2024:19:08:30 +0000,PUT,/index.html,200,3052
10.0.0.1,14/Aug/2024:19:33:53 +0000,PUT,/services.html,200,2981
10.0.0.1,14/Aug/2024:19:15:03 +0000,POST,/services.html,200,1752
10.0.0.1,14/Aug/2024:19:21:37 +0000,GET,/services.html,200,3858
172.16.0.2,14/Aug/2024:19:12:27 +0000,DELETE,/about.html,404,2874
172.16.0.1,14/Aug/2024:19:50:10 +0000,GET,/about.html,404,4481
